FrameWork,TPS,Threadpool,Avg Response Time(ms),P95,P99,Throughput(rps),Error Rate,CPU Usage,Memory,Latency(ms),Request Timeouts
boot,5000.0,350.0,2693.44,3979.27,9184.62,192.07,0.0,0.11,646.0,2698.12,0.0
boot,5000.0,450.0,1000.0,3318.61,6991.98,241.59,0.0,0.18,557.0,1004.83,0.0
boot,5000.0,500.0,1000.0,3020.66,6106.35,258.31,0.0,0.09,666.0,991.76,0.0
boot,10000.0,50.0,6277.74,7643.32,13758.14,10.16,0.0,0.09,560.0,6274.11,0.0
boot,10000.0,100.0,5564.52,8578.47,11772.86,59.52,0.0,0.07,628.0,5554.98,0.0
boot,10000.0,150.0,6103.28,9005.08,15078.13,90.37,0.0,0.09,687.0,6096.31,0.0
boot,10000.0,200.0,5392.74,8305.28,15117.42,97.48,0.0,0.08,697.0,5402.2,0.0
boot,10000.0,250.0,6539.92,7881.99,12927.66,130.16,0.0,0.2,631.0,6536.31,0.0
boot,10000.0,300.0,6158.27,7963.9,11377.63,158.88,0.0,0.15,571.0,6158.48,0.0
boot,10000.0,350.0,3339.84,8219.9,14391.68,168.22,0.0,0.14,622.0,3341.7,0.0
boot,10000.0,400.0,3085.98,5682.39,9719.3,215.64,0.0,0.06,563.0,3084.45,0.0
boot,10000.0,450.0,5687.87,7129.25,10693.64,232.47,0.0,0.09,591.0,5697.63,0.0
boot,10000.0,500.0,3865.34,8044.94,14184.9,234.16,0.0,0.12,559.0,3866.69,0.0
boot,15000.0,50.0,11576.01,13770.62,19611.49,28.92,0.19,0.16,641.0,11573.52,9.0
boot,15000.0,100.0,8387.23,12148.15,18834.06,50.3,0.0,0.14,578.0,8383.76,0.0
boot,15000.0,150.0,7286.41,10570.54,17187.09,66.02,0.0,0.15,680.0,7279.62,0.0
boot,15000.0,200.0,7217.7,11583.24,16311.96,96.95,0.0,0.17,641.0,7214.56,0.0
boot,15000.0,250.0,6051.87,9169.37,11224.05,136.72,0.0,0.07,607.0,6047.48,0.0
boot,15000.0,300.0,5984.37,9519.12,12083.44,167.54,0.0,0.19,695.0,5984.76,0.0
boot,15000.0,350.0,9172.78,10254.32,15138.01,159.72,0.0,0.05,652.0,9166.73,0.0
boot,15000.0,400.0,4522.37,9516.52,14840.92,182.12,0.0,0.12,674.0,4523.55,0.0
boot,15000.0,450.0,7884.44,12540.03,19423.31,211.06,0.0,0.06,689.0,7874.99,0.0
boot,15000.0,500.0,6989.61,8356.83,12597.68,230.02,0.0,0.2,579.0,6985.03,0.0
boot,20000.0,50.0,11383.27,16049.41,19657.88,37.12,0.15,0.18,675.0,11390.25,14.0
boot,20000.0,100.0,10408.46,13969.91,18249.94,54.63,0.4,0.17,684.0,10400.71,6.0
boot,20000.0,150.0,8142.07,10395.28,15748.56,62.02,0.0,0.1,625.0,8146.11,0.0
boot,20000.0,200.0,12639.01,13658.2,16670.92,105.19,0.32,0.09,689.0,12644.14,13.0
boot,20000.0,250.0,14225.24,17119.78,19324.37,127.53,0.21,0.08,616.0,14226.74,8.0
boot,20000.0,300.0,10539.17,14381.02,18531.35,133.79,0.27,0.1,654.0,10533.21,18.0
boot,20000.0,350.0,9059.49,11675.47,16560.04,163.9,0.0,0.15,663.0,9063.28,0.0
boot,20000.0,400.0,12072.51,13410.95,19557.87,214.61,0.4,0.05,563.0,12077.53,12.0
boot,20000.0,450.0,7102.39,11772.83,17644.7,240.71,0.0,0.07,568.0,7109.4,0.0
boot,20000.0,500.0,7598.59,9425.99,13738.95,237.85,0.0,0.13,644.0,7606.89,0.0
boot,25000.0,50.0,14970.08,17657.46,24380.33,32.67,0.31,0.06,580.0,14960.85,13.0
boot,25000.0,100.0,12197.59,15183.24,20868.72,56.28,0.26,0.19,554.0,12188.62,17.0
boot,25000.0,150.0,14114.99,17004.45,21006.24,61.21,0.12,0.16,665.0,14123.55,26.0
boot,25000.0,200.0,13295.21,17255.69,21634.19,105.13,0.36,0.18,615.0,13290.46,8.0
boot,25000.0,250.0,15340.79,16713.91,19287.05,143.53,0.23,0.1,592.0,15337.0,9.0
boot,25000.0,300.0,14364.59,17722.95,23880.74,153.23,0.2,0.13,635.0,14358.51,13.0
boot,25000.0,350.0,9983.45,14606.61,18293.4,193.66,0.0,0.14,678.0,9981.19,0.0
boot,25000.0,400.0,11103.59,15967.6,18975.96,197.5,0.31,0.13,577.0,11097.84,10.0
boot,25000.0,450.0,11405.37,15929.79,18308.85,241.35,0.13,0.06,646.0,11410.83,7.0
boot,25000.0,500.0,15356.89,16683.8,18978.3,263.64,0.14,0.12,616.0,15358.62,30.0
boot,30000.0,50.0,13837.76,18136.29,24908.01,18.93,0.13,0.2,592.0,13829.64,8.0
boot,30000.0,100.0,16294.06,19253.8,23959.18,31.67,0.38,0.17,554.0,16289.15,14.0
boot,30000.0,150.0,20103.59,23962.68,30176.03,56.53,0.33,0.09,672.0,20104.12,27.0
boot,30000.0,200.0,21380.82,25665.88,28834.41,89.21,0.22,0.06,649.0,21389.92,37.0
boot,30000.0,250.0,12609.65,15003.67,18289.02,122.39,0.37,0.18,675.0,12609.55,24.0
boot,30000.0,300.0,18979.21,20174.7,23496.17,166.7,0.32,0.08,564.0,18973.66,22.0
boot,30000.0,350.0,19766.39,22553.86,27412.4,167.48,0.32,0.1,630.0,19764.77,21.0
boot,30000.0,400.0,22274.07,25932.92,31541.74,217.54,0.39,0.2,593.0,22278.64,39.0
boot,30000.0,450.0,20343.04,23278.12,25278.39,221.88,0.37,0.05,617.0,20349.82,11.0
boot,30000.0,500.0,14149.02,16673.78,18926.35,231.51,0.16,0.11,584.0,14147.0,22.0
boot,35000.0,50.0,17484.18,21372.59,26496.36,36.13,0.15,0.16,649.0,17475.2,11.0
boot,35000.0,100.0,17095.69,19669.63,23115.31,48.14,0.13,0.16,698.0,17103.09,22.0
boot,35000.0,150.0,13308.94,15505.38,22037.76,94.46,0.26,0.12,585.0,13312.2,16.0
boot,35000.0,200.0,23799.87,25880.8,28742.46,106.07,0.37,0.06,583.0,23805.53,23.0
boot,35000.0,250.0,20690.7,22159.51,28772.4,105.12,0.37,0.19,651.0,20682.33,10.0
boot,35000.0,300.0,25809.46,27914.52,32347.63,156.8,0.14,0.13,688.0,25800.15,20.0
boot,35000.0,350.0,19465.9,21585.22,23971.17,185.55,0.1,0.08,584.0,19471.88,17.0
boot,35000.0,400.0,23984.36,28252.62,30728.67,204.97,0.22,0.1,636.0,23976.71,16.0
boot,35000.0,450.0,25472.41,27692.4,31738.95,230.64,0.31,0.07,558.0,25480.56,40.0
boot,35000.0,500.0,24806.56,28935.27,32341.28,249.82,0.26,0.08,575.0,24806.19,42.0
boot,40000.0,50.0,20011.34,24068.26,26258.32,34.99,0.18,0.07,551.0,20015.31,22.0
boot,40000.0,100.0,30187.12,33370.32,36795.31,51.5,0.33,0.13,659.0,30186.56,43.0
boot,40000.0,150.0,18113.97,22951.57,29516.0,66.98,0.34,0.17,620.0,18113.05,18.0
boot,40000.0,200.0,25107.99,29451.68,32616.16,113.69,0.11,0.05,599.0,25116.17,15.0
boot,40000.0,250.0,22751.61,24376.62,26642.86,143.0,0.21,0.08,682.0,22749.86,37.0
boot,40000.0,300.0,30373.66,33447.5,35629.67,152.7,0.33,0.12,695.0,30377.33,26.0
boot,40000.0,350.0,19287.67,20306.57,26481.53,187.67,0.34,0.12,646.0,19290.6,18.0
boot,40000.0,400.0,27454.9,31294.44,34366.38,215.69,0.11,0.14,631.0,27450.89,46.0
boot,40000.0,450.0,26425.01,30649.15,34115.64,213.62,0.27,0.19,595.0,26433.26,24.0
boot,40000.0,500.0,27857.25,30307.52,34616.48,238.64,0.37,0.1,685.0,27864.5,32.0
boot,45000.0,50.0,35521.88,37989.0,43165.92,44.6,0.24,0.08,673.0,35524.74,66.0
boot,45000.0,100.0,26315.77,29902.75,36388.05,54.01,0.37,0.2,685.0,26307.81,41.0
boot,45000.0,150.0,26728.52,31423.77,36537.89,65.69,0.38,0.14,591.0,26721.88,15.0
boot,45000.0,200.0,26004.72,28795.7,31067.73,112.38,0.29,0.18,557.0,26006.47,16.0
boot,45000.0,250.0,20239.84,22748.4,25223.74,116.5,0.14,0.15,595.0,20248.83,26.0
boot,45000.0,300.0,33868.64,38089.39,44845.69,157.12,0.16,0.06,650.0,33860.86,28.0
boot,45000.0,350.0,22742.05,25848.52,30373.37,190.73,0.24,0.16,625.0,22750.0,15.0
boot,45000.0,400.0,33388.4,36252.39,38798.23,195.86,0.37,0.12,597.0,33391.14,58.0
boot,45000.0,450.0,31334.43,32564.57,35668.52,215.51,0.38,0.06,687.0,31341.82,26.0
boot,45000.0,500.0,27388.8,31853.45,38757.8,258.39,0.18,0.1,576.0,27395.89,50.0
boot,50000.0,50.0,29162.4,30566.17,33178.53,10.0,0.25,0.17,584.0,29160.0,48.0
boot,50000.0,100.0,21717.73,26222.12,28637.47,35.73,0.4,0.11,608.0,21720.7,13.0
boot,50000.0,150.0,36595.74,37912.39,42137.13,89.29,0.32,0.09,587.0,36598.69,68.0
boot,50000.0,200.0,23744.03,28049.4,34453.61,94.46,0.38,0.2,640.0,23741.25,17.0
boot,50000.0,250.0,37125.92,40949.33,47495.38,143.98,0.24,0.2,636.0,37134.67,24.0
boot,50000.0,300.0,35617.64,38462.43,45402.69,139.08,0.39,0.14,622.0,35607.68,59.0
boot,50000.0,350.0,27148.88,31802.08,37513.12,172.8,0.28,0.09,641.0,27156.33,21.0
boot,50000.0,400.0,38578.28,41265.87,43277.61,201.87,0.33,0.06,676.0,38570.31,36.0
boot,50000.0,450.0,22023.3,23614.88,27551.43,219.91,0.38,0.11,643.0,22027.27,31.0
boot,50000.0,500.0,26118.68,29220.44,34701.28,236.42,0.34,0.16,700.0,26126.9,32.0
webflux,5000.0,50.0,57.28,69.99,82.59,4424.73,0.0,0.19,455.0,57.9,0.0
webflux,5000.0,100.0,58.73,73.33,79.09,4617.49,0.0,0.2,450.0,59.6,0.0
webflux,5000.0,150.0,61.32,74.21,86.16,4672.93,0.0,0.21,465.0,60.98,0.0
webflux,5000.0,200.0,64.18,82.91,94.81,4421.35,0.0,0.22,473.0,63.66,0.0
webflux,5000.0,250.0,63.57,78.67,87.39,4671.91,0.0,0.23,449.0,63.52,0.0
webflux,5000.0,300.0,66.21,80.65,87.09,4739.58,0.0,0.24,463.0,65.57,0.0
webflux,5000.0,350.0,64.21,77.26,88.8,4666.82,0.0,0.25,486.0,64.26,0.0
webflux,5000.0,400.0,74.74,87.42,93.84,4695.86,0.0,0.26,476.0,74.87,0.0
webflux,5000.0,450.0,77.73,91.2,97.68,4380.01,0.0,0.27,468.0,77.9,0.0
webflux,5000.0,500.0,72.57,90.54,102.13,4344.08,0.0,0.28,457.0,72.3,0.0
webflux,10000.0,50.0,57.54,68.73,83.34,9166.76,0.0,0.22,515.0,57.45,0.0
webflux,10000.0,100.0,57.49,72.76,79.73,8606.37,0.0,0.22,514.0,57.75,0.0
webflux,10000.0,150.0,57.47,72.06,77.93,9279.74,0.0,0.24,523.0,57.19,0.0
webflux,10000.0,200.0,67.01,83.06,91.09,8891.96,0.0,0.24,530.0,67.98,0.0
webflux,10000.0,250.0,64.39,81.94,89.35,9029.89,0.0,0.25,490.0,64.27,0.0
webflux,10000.0,300.0,60.42,74.12,81.62,8568.14,0.0,0.26,524.0,61.36,0.0
webflux,10000.0,350.0,69.88,89.71,95.09,9074.81,0.0,0.27,498.0,70.77,0.0
webflux,10000.0,400.0,71.91,88.22,101.74,8605.4,0.0,0.28,520.0,72.74,0.0
webflux,10000.0,450.0,74.99,94.03,102.0,9482.3,0.0,0.3,529.0,75.55,0.0
webflux,10000.0,500.0,74.08,92.02,101.05,9419.61,0.0,0.31,529.0,73.29,0.0
webflux,15000.0,50.0,60.06,75.54,86.68,12750.14,0.0,0.24,522.0,60.78,0.0
webflux,15000.0,100.0,56.61,70.32,85.18,13374.39,0.0,0.25,547.0,57.24,0.0
webflux,15000.0,150.0,61.21,71.95,81.16,13208.03,0.0,0.26,536.0,61.58,0.0
webflux,15000.0,200.0,63.12,80.07,89.31,13562.99,0.0,0.27,554.0,64.05,0.0
webflux,15000.0,250.0,61.39,73.33,87.91,13940.88,0.0,0.28,527.0,61.47,0.0
webflux,15000.0,300.0,69.19,80.21,95.14,13195.07,0.0,0.29,520.0,68.91,0.0
webflux,15000.0,350.0,63.81,79.52,88.4,13589.36,0.0,0.3,536.0,63.29,0.0
webflux,15000.0,400.0,77.84,88.06,97.2,13160.03,0.0,0.31,533.0,76.89,0.0
webflux,15000.0,450.0,69.73,80.85,92.41,14222.14,0.0,0.33,543.0,70.7,0.0
webflux,15000.0,500.0,86.96,104.53,112.83,13173.85,0.0,0.33,561.0,86.18,0.0
webflux,20000.0,50.0,57.32,69.53,75.31,18247.64,0.0,0.27,562.0,57.53,0.0
webflux,20000.0,100.0,59.75,74.35,82.91,18967.16,0.0,0.28,564.0,59.71,0.0
webflux,20000.0,150.0,61.96,80.49,95.19,18527.61,0.0,0.29,576.0,62.41,0.0
webflux,20000.0,200.0,59.84,69.94,83.94,18507.87,0.0,0.3,570.0,60.03,0.0
webflux,20000.0,250.0,70.85,84.78,89.93,18601.07,0.0,0.31,607.0,70.72,0.0
webflux,20000.0,300.0,64.41,83.6,89.39,17743.07,0.0,0.32,575.0,63.57,0.0
webflux,20000.0,350.0,70.2,89.34,99.03,17905.01,0.0,0.33,561.0,69.59,0.0
webflux,20000.0,400.0,73.56,92.69,107.12,18285.34,0.0,0.34,607.0,72.63,0.0
webflux,20000.0,450.0,77.11,94.33,101.04,17040.13,0.0,0.34,609.0,76.85,0.0
webflux,20000.0,500.0,72.61,90.72,100.77,18990.52,0.0,0.36,567.0,72.82,0.0
webflux,25000.0,50.0,61.1,76.22,82.72,22884.63,0.0,0.3,640.0,61.08,0.0
webflux,25000.0,100.0,62.39,79.81,94.04,22025.55,0.0,0.3,615.0,62.07,0.0
webflux,25000.0,150.0,60.15,72.43,84.39,23640.99,0.0,0.32,616.0,59.59,0.0
webflux,25000.0,200.0,64.78,77.8,85.04,21632.97,0.0,0.32,606.0,63.79,0.0
webflux,25000.0,250.0,71.86,84.7,95.85,21649.64,0.0,0.33,616.0,71.24,0.0
webflux,25000.0,300.0,72.74,86.01,92.73,21882.86,0.0,0.34,610.0,71.75,0.0
webflux,25000.0,350.0,64.04,78.81,93.78,23225.44,0.0,0.36,636.0,63.61,0.0
webflux,25000.0,400.0,68.56,79.05,88.38,23376.18,0.0,0.37,614.0,68.03,0.0
webflux,25000.0,450.0,82.73,99.91,112.85,21913.24,0.0,0.37,617.0,83.71,0.0
webflux,25000.0,500.0,83.51,98.48,110.27,22941.59,0.0,0.39,617.0,83.61,0.0
webflux,30000.0,50.0,59.97,70.24,76.07,28029.17,0.0,0.33,670.0,60.71,0.0
webflux,30000.0,100.0,61.65,80.56,89.98,26794.96,0.0,0.33,646.0,61.2,0.0
webflux,30000.0,150.0,65.46,80.85,88.34,26037.24,0.0,0.34,675.0,65.05,0.0
webflux,30000.0,200.0,62.75,73.15,79.08,26144.29,0.0,0.35,656.0,63.09,0.0
webflux,30000.0,250.0,64.27,75.52,80.61,25505.48,0.0,0.35,660.0,64.66,0.0
webflux,30000.0,300.0,64.71,83.69,88.74,27158.26,0.0,0.37,658.0,65.04,0.0
webflux,30000.0,350.0,71.91,84.67,96.93,28419.15,0.0,0.39,658.0,72.17,0.0
webflux,30000.0,400.0,66.58,78.56,89.11,26315.09,0.0,0.39,674.0,65.98,0.0
webflux,30000.0,450.0,77.27,92.53,101.49,28378.43,0.0,0.41,672.0,77.22,0.0
webflux,30000.0,500.0,81.73,95.52,105.72,26489.17,0.0,0.41,658.0,81.42,0.0
webflux,35000.0,50.0,59.11,74.31,86.81,31173.6,0.0,0.35,723.0,59.15,0.0
webflux,35000.0,100.0,60.77,80.48,89.16,32953.59,0.0,0.37,685.0,60.6,0.0
webflux,35000.0,150.0,63.22,81.0,87.63,33199.01,0.0,0.38,692.0,62.25,0.0
webflux,35000.0,200.0,63.38,79.18,85.59,32573.64,0.0,0.39,699.0,63.25,0.0
webflux,35000.0,250.0,70.07,81.85,91.03,30631.14,0.0,0.38,712.0,70.95,0.0
webflux,35000.0,300.0,65.68,77.9,86.91,30975.85,0.0,0.4,722.0,66.38,0.0
webflux,35000.0,350.0,64.86,83.17,96.06,30691.12,0.0,0.4,681.0,65.18,0.0
webflux,35000.0,400.0,67.29,80.58,90.52,30486.72,0.0,0.41,702.0,67.69,0.0
webflux,35000.0,450.0,73.29,91.53,104.63,30571.89,0.0,0.42,702.0,72.93,0.0
webflux,35000.0,500.0,68.23,85.18,92.15,30017.41,0.0,0.43,685.0,67.33,0.0
webflux,40000.0,50.0,62.93,76.35,90.95,35497.06,0.0,0.37,762.0,62.09,0.0
webflux,40000.0,100.0,61.54,74.56,87.93,36095.8,0.0,0.39,742.0,60.69,0.0
webflux,40000.0,150.0,63.95,82.01,91.18,34724.11,0.0,0.39,729.0,64.23,0.0
webflux,40000.0,200.0,71.83,90.63,96.07,34836.78,0.0,0.4,739.0,71.07,0.0
webflux,40000.0,250.0,67.01,83.82,91.8,35286.08,0.0,0.41,749.0,66.32,0.0
webflux,40000.0,300.0,76.45,93.23,100.38,36752.48,0.0,0.43,752.0,75.8,0.0
webflux,40000.0,350.0,80.13,96.26,109.37,35794.47,0.0,0.43,729.0,80.2,0.0
webflux,40000.0,400.0,80.04,99.24,113.15,34733.89,0.0,0.44,745.0,79.53,0.0
webflux,40000.0,450.0,78.66,93.32,101.4,34083.55,0.0,0.44,731.0,77.8,0.0
webflux,40000.0,500.0,85.63,102.24,113.56,34430.93,0.0,0.46,760.0,85.9,0.0
webflux,45000.0,50.0,63.08,74.82,86.3,41742.14,0.0,0.41,776.0,62.78,0.0
webflux,45000.0,100.0,62.99,75.91,85.79,41935.99,0.0,0.42,794.0,63.46,0.0
webflux,45000.0,150.0,62.54,76.6,85.79,38332.09,0.0,0.41,786.0,62.43,0.0
webflux,45000.0,200.0,68.67,84.27,90.53,38533.01,0.0,0.42,769.0,68.46,0.0
webflux,45000.0,250.0,67.8,81.8,96.48,41311.03,0.0,0.45,760.0,68.63,0.0
webflux,45000.0,300.0,71.33,82.56,92.45,41450.79,0.0,0.46,779.0,70.46,0.0
webflux,45000.0,350.0,75.41,89.57,100.16,41776.54,0.0,0.47,782.0,74.47,0.0
webflux,45000.0,400.0,69.79,86.9,96.03,41034.37,0.0,0.48,765.0,70.68,0.0
webflux,45000.0,450.0,85.29,104.01,109.53,38582.77,0.0,0.47,761.0,84.47,0.0
webflux,45000.0,500.0,91.0,105.27,111.27,41750.04,0.0,0.5,770.0,91.9,0.0
webflux,50000.0,50.0,62.81,79.19,91.25,45613.07,0.0,0.43,816.0,63.08,0.0
webflux,50000.0,100.0,67.37,84.82,95.77,47393.28,0.0,0.45,803.0,67.55,0.0
webflux,50000.0,150.0,64.56,76.34,81.51,42889.47,0.0,0.44,807.0,64.91,0.0
webflux,50000.0,200.0,67.46,83.33,89.18,44613.46,0.0,0.46,822.0,67.14,0.0
webflux,50000.0,250.0,69.86,87.52,98.25,45938.74,0.0,0.48,804.0,69.3,0.0
webflux,50000.0,300.0,79.89,96.22,110.61,44665.44,0.0,0.48,822.0,80.04,0.0
webflux,50000.0,350.0,76.86,92.79,98.95,46434.08,0.0,0.5,822.0,77.7,0.0
webflux,50000.0,400.0,70.24,86.59,98.91,44451.32,0.0,0.5,842.0,69.36,0.0
webflux,50000.0,450.0,75.89,92.69,104.54,46031.78,0.0,0.52,829.0,75.6,0.0
webflux,50000.0,500.0,75.33,94.34,108.39,42613.8,0.0,0.51,828.0,74.99,0.0
boot,5000.0,50.0,747.06,1140.0,1220.0,2654.32,0.0,0.51,554.7,747.06,0.0
boot,10000.0,50.0,737.18,1140.0,1260.0,2692.73,0.0,0.36,618.6,737.18,0.0
boot,50000.0,50.0,784.52,1190.0,1290.0,2529.34,0.15,0.42,623.4,784.52,4.0
